Uuid,Status,Additional data,Characteristic,Path,K1 Messwert,K21000 Verdichtung Minimum,K21001 Verdichtung Maximum,K21002 Verdichtung Spannweite,K21003 Verdichtung Mittelwert,K21004 Verdichtung Sigma,K21005 Verdichtung Median,K21006 Verdichtung Unteres Quartil,K21007 Verdichtung Oberes Quartil,K21008 Verdichtung Cp,K21009 Verdichtung Cpk,K21010 Verdichtung Anzahl,K21011 Verdichtung Gelbbereich,K21012 Verdichtung Rotbereich,K4 Messdatum,K6 Identnummer,K8 Pr¸fer,K9 Text,K10 Maschine,K12 Pr¸fmittel,K53 Auftragsnummer,K96 Freigabestatus,K99 .Verdichtungsjob,K100 Verdichtungsintervall,K101 Verdichtung Anzahl der Ursprungsmessungen,K842 Bemusterungsteil,K843 Beh‰lternummer,K844 Sondermessung,K850 Schicht,K853 Datenstempel,K854 Untergruppe 1,K855 Untergruppe 2,K856 Untergruppe 3,K857 Untergruppe 4,K858 Linie,K860 Aufbauvariante,K861 Antriebsvariante,K862 Lenkungsvariante,K863 Fahrwerksvariante,K864 Fertigungsschrittvariante,K865 Getriebevariante,K866 Ausstattungsvariante,K867 Exterieurvariante,K868 Programmvariante,K870 Identnr. 2,K871 Linie 2,K872 Messort,K873 Farbcode,K874 Baustufe,K1004 Bauteilstand,K1042 CAD-Stand,K1232 Programmstand,K2001 Merkmalsnummer,K2006 Dokumentationspflicht,K2021 Berechnungsvorschrift,K2022 Anzahl Nachkommastellen,K2100 Sollwert,K2101 Nennmaﬂ,K2110 Unterer Toleranz,K2111 Oberer Toleranz,K2120 Art der Grenze unten,K2342 Messmodul,K2343 Messpunktrolle,K2540 X-Richtung,K2541 Y-Richtung,K2542 Z-Richtung,K2543 X-Position,K2544 Y-Position,K2545 Z-Position,K2570 Kategorie,K2571 Funktionsbereich,K2580 PBMS-Punkt,K2581 Inline-Punkt,K2582 Symmetrisch,K2583 Manuelle Toleranzeingabe,K12004 Merkmalsart,K12010 Merkmalstyp,K12360 Messpunktverkn¸pfung,K12361 Verkn¸pfungstyp,K13001 Text 1,K13002 Text 2,K13003 Text 3,K13010 Messprogramm,K13011 Schnittebene,K13012 FMK-Kennung,K13013 Toleranzkette,K13014 Messprinzip
"882ce3c4-275a-43f6-9631-d64bac1148b7|0aa0ff39-dcc2-4679-96da-717ade2c4ca1","1","False","NLSLA0001_H_GA.Z","/AU583/Inline/SGR Aufbau 3/NLSLA0001_H_GA/NLSLA0001_H_GA.Z","0.39",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"506","0","-1","1",,"SLA_ANB_LEUCHTE","n.def.","1","-2E-07","0","3540","-541","506","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,,"n.def.",,,"RPS_003_Fx","SLA_A3_M8110AU583 SLA_FI_M9330AU583 SLA_SA_M5930AU583",,,,"GA - 6-Eck-Loch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|eb5f5ed0-995c-425b-8848-e846d3ad6d36","3","False","NLSLA0014_H_DG.X","/AU583/Inline/SGR Aufbau 3/NLSLA0014_H_DG/NLSLA0014_H_DG.X","1.5",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"3591","0","-1","1",,"Lochbild","n.def.","1","0","0","3591","-601.5","156.65","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"RPS_002_Hy","SLA_A3_M8110AU583 SLA_SA_M5930AU583",,,,"DG - Langloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|db43c371-9ddf-48e7-83c6-cc51fd497cf3","1","False","NLSLA0014_H_DG.Y","/AU583/Inline/SGR Aufbau 3/NLSLA0014_H_DG/NLSLA0014_H_DG.Y","0.18",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-601.5","0","-1","1",,"Lochbild","n.def.","1","0","0","3591","-601.5","156.65","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"RPS_002_Hy","SLA_A3_M8110AU583 SLA_SA_M5930AU583",,,,"DG - Langloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|734f432b-3f8f-4b27-919b-9c69fbcf9ef7","1","False","NLSLA0014_H_DG.Z","/AU583/Inline/SGR Aufbau 3/NLSLA0014_H_DG/NLSLA0014_H_DG.Z","0.54",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"156.65","0","-1","1",,"Lochbild","n.def.","1","0","0","3591","-601.5","156.65","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"RPS_002_Hy","SLA_A3_M8110AU583 SLA_SA_M5930AU583",,,,"DG - Langloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|cfb0d451-6404-4aaf-83fe-b1e16512895f","1","False","NLSWA0001_L_HA.X","/AU583/Inline/SGR Aufbau 3/NLSWA0001_L_HA/NLSWA0001_L_HA.X","-0.14",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"389.229","0","-1","1",,"Lochbild","n.def.","0","-1","0","389.229","-840.244","339.97","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,,"SWA_A3_M7510AU583",,,,"HA - Kragenloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|b4e7834f-46ee-4945-aae8-5e978fde4a44","1","False","NLSWA0001_L_HA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0001_L_HA/NLSWA0001_L_HA.Y","-0.44",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-840.244","0","-1","1",,"Lochbild","n.def.","0","-1","0","389.229","-840.244","339.97","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,,"SWA_A3_M7510AU583",,,,"HA - Kragenloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|132e4842-603e-4cf9-bf9f-c7240c9bdff6","1","False","NLSWA0001_L_HA.Z","/AU583/Inline/SGR Aufbau 3/NLSWA0001_L_HA/NLSWA0001_L_HA.Z","0.24",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"339.97","0","-1","1",,"Lochbild","n.def.","0","-1","0","389.229","-840.244","339.97","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,,"SWA_A3_M7510AU583",,,,"HA - Kragenloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|8e5d4da4-eac3-47b1-9ba2-73d38bf62ecd","1","False","NLSWA0002_L_CA.X","/AU583/Inline/SGR Aufbau 3/NLSWA0002_L_CA/NLSWA0002_L_CA.X","0.47",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"380.073","0","-1","1",,"Lochbild","n.def.","0","-0.9992626","0.0383948","380.073","-836.884","434.956","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b_Scharnier_VT_oben","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|d9909960-ff23-442a-aaea-24f0d2169704","1","False","NLSWA0002_L_CA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0002_L_CA/NLSWA0002_L_CA.Y","-0.42",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-836.884","0","-1","1",,"Lochbild","n.def.","0","-0.9992626","0.0383948","380.073","-836.884","434.956","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b_Scharnier_VT_oben","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|2f6d7117-1703-40d0-a6ee-4ca764b006fa","1","False","NLSWA0002_L_CA.Z","/AU583/Inline/SGR Aufbau 3/NLSWA0002_L_CA/NLSWA0002_L_CA.Z","0.09",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"434.956","0","-1","1",,"Lochbild","n.def.","0","-0.9992626","0.0383948","380.073","-836.884","434.956","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b_Scharnier_VT_oben","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|28ddd933-f92a-4b8d-b294-7c36ba7bf349","1","False","NLSWA0004_L_CA.X","/AU583/Inline/SGR Aufbau 3/NLSWA0004_L_CA/NLSWA0004_L_CA.X","0.04",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"373.719","0","-1","1",,"Lochbild","n.def.","0","-0.9992626","0.0383948","373.719","-850.6","77.975","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b2_Scharnier_VT_unten","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|c28a9335-d292-4e09-ae52-b7b481156aa2","1","False","NLSWA0004_L_CA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0004_L_CA/NLSWA0004_L_CA.Y","-0.44",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-850.6","0","-1","1",,"Lochbild","n.def.","0","-0.9992626","0.0383948","373.719","-850.6","77.975","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b2_Scharnier_VT_unten","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|58f00041-8ed3-41f8-91a8-bd435fe0956d","1","False","NLSWA0004_L_CA.Z","/AU583/Inline/SGR Aufbau 3/NLSWA0004_L_CA/NLSWA0004_L_CA.Z","0.27",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"77.975","0","-1","1",,"Lochbild","n.def.","0","-0.9992626","0.0383948","373.719","-850.6","77.975","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b2_Scharnier_VT_unten","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|da6c60d0-926d-491a-b389-f689e81f1fe8","1","False","NLSWA0006_L_CA.X","/AU583/Inline/SGR Aufbau 3/NLSWA0006_L_CA/NLSWA0006_L_CA.X","0.15",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"1494.396","0","-1","1",,"Lochbild","n.def.","0","-0.9997007","0.0244634","1494.396","-840.733","450.554","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b4_Scharnier_HT_oben","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|8e080b93-1a32-4ae1-97df-12c4b82d162b","1","False","NLSWA0006_L_CA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0006_L_CA/NLSWA0006_L_CA.Y","-0.12",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-840.733","0","-1","1",,"Lochbild","n.def.","0","-0.9997007","0.0244634","1494.396","-840.733","450.554","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b4_Scharnier_HT_oben","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|77b4faa7-eda4-4a06-a58e-0d0496628898","1","False","NLSWA0006_L_CA.Z","/AU583/Inline/SGR Aufbau 3/NLSWA0006_L_CA/NLSWA0006_L_CA.Z","-0.3",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"450.554","0","-1","1",,"Lochbild","n.def.","0","-0.9997007","0.0244634","1494.396","-840.733","450.554","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b4_Scharnier_HT_oben","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|8a02b75c-1f1c-40a1-822b-3ffb711ee5b9","1","False","NLSWA0008_L_CA.X","/AU583/Inline/SGR Aufbau 3/NLSWA0008_L_CA/NLSWA0008_L_CA.X","0.03",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"1475.372","0","-1","1",,"Lochbild","n.def.","0","-0.9997007","0.0244634","1475.372","-856.163","65.285","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b6_Scharnier_HT_unten","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|4095fd67-fac1-4bbb-bb9b-aa9678341416","1","False","NLSWA0008_L_CA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0008_L_CA/NLSWA0008_L_CA.Y","0.02",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-856.163","0","-1","1",,"Lochbild","n.def.","0","-0.9997007","0.0244634","1475.372","-856.163","65.285","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b6_Scharnier_HT_unten","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|313ee37e-a49e-423a-aae6-c5bd5115b2a8","1","False","NLSWA0008_L_CA.Z","/AU583/Inline/SGR Aufbau 3/NLSWA0008_L_CA/NLSWA0008_L_CA.Z","-0.56",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"65.285","0","-1","1",,"Lochbild","n.def.","0","-0.9997007","0.0244634","1475.372","-856.163","65.285","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,,"n.def.",,,"LTA_b6_Scharnier_HT_unten","SWA_A3_M7510AU583",,,,"CA - Rundloch normal"
"882ce3c4-275a-43f6-9631-d64bac1148b7|73c10d72-b545-4b8e-8a72-e6fc796b2e7e","1","False","NLSWA0032_L_BA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0032_L_BA/NLSWA0032_L_BA.Y","-0.17",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-635.425","0","-1","1",,"NoGroup","FORM_PT1","-0.0186071","-0.8234657","0.5670607","1170.496","-635.425","983.302","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,"NLSWA0032_L_BA","n.def.","Formpunkt 1",,,"SWA_A3_M7510AU583","ELXXA0048_____D",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|8d8d52ed-93d7-4bc6-9174-3ec6ae7cf1ca","1","False","NLSWA0033_U_BA.Z","/AU583/Inline/SGR Aufbau 3/NLSWA0033_U_BA/NLSWA0033_U_BA.Z","0.35",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"974.609","0","-1","1",,"NoGroup","FORM_PT2","0.2177905","-0.5853018","-0.7810179","1172.082","-634.989","974.609","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,"NLSWA0032_L_BA","n.def.","Formpunkt 2",,,"SWA_A3_M7510AU583","ELXXA0048_____D",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|2ea9a0e6-c7a1-47c9-92e9-e797ab595478","1","False","NLSWA0048_L_BA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0048_L_BA/NLSWA0048_L_BA.Y","-0.22",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-616.623","0","-1","1",,"NoGroup","FORM_PT1","0.0461928","-0.8279312","0.558924","2054.897","-616.623","985.739","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,"NLSWA0048_L_BA","n.def.","Formpunkt 1",,,"SWA_A3_M7510AU583","ELXXA0052_____D",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|965f03de-81c6-45ed-bb44-1e03542de5cf","1","False","NLSWA0049_U_BA.Z","/AU583/Inline/SGR Aufbau 3/NLSWA0049_U_BA/NLSWA0049_U_BA.Z","-0.42",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"976.921","0","-1","1",,"NoGroup","FORM_PT2","-0.142759","-0.632496","-0.761294","2053.801","-616.407","976.921","Netzmaﬂ","n.def.","n.def.","n.def.","Ja","n.def.","variabel",,"NLSWA0048_L_BA","n.def.","Formpunkt 2",,,"SWA_A3_M7510AU583","ELXXA0052_____D",,,"BA - Kantenpunkt"
"882ce3c4-275a-43f6-9631-d64bac1148b7|7e15a97f-e05c-49e0-baa4-005c6a743e44","1","False","NLSWA0076_L_BA.Y","/AU583/Inline/SGR Aufbau 3/NLSWA0076_L_BA/NLSWA0076_L_BA.Y","-0.18",,,,,,,,,,,,,,5/2/2018 12:13:45 PM,"22201818523515","n.def.",,"n.def.","n.def.",,"n.def.",,"n.def.",,"n.def.",,"Serienmessung",,,"0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","0 - unbekannte Linie","n.def. - .","konventionell - K","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .","n.def. - .",,"0 - unbekannte Linie","n.def.",,"n.def.",,,,,"Ja",,,"-777.227","0","-1","1",,"NoGroup","FORM_PT1","0.0329046","-0.7795982","0.6254148","2498.911","-777.227","667.511","Netzmaﬂ","n.def.","n.def.","Ja","Ja","n.def.","variabel",,"NLSWA0076_L_BA","n.def.","Formpunkt 1",,,"SWA_A3_M7510AU583","Plane.48",,,"BA - Kantenpunkt"
